ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,stdDevAX,DeltaTime,Angle,Drift Per Min
6.545,-0.1223,0.0154,1.0222,0.1221,0.5954,0.5878,,0.02,0.8499455,
6.565,-0.1157,0.0176,1.0181,0.2061,0.6183,0.6107,,0.02,0.8540675,
6.585,-0.1211,0.0151,1.0215,0.1069,0.5496,0.6183,,0.02,0.8562055,
6.605,-0.1169,0.0154,1.0205,0.2214,0.5649,0.6336,,0.02,0.8606335,
6.625,-0.1187,0.0129,1.0215,0.084,0.4427,0.6412,,0.02,0.8623135,
6.645,-0.1177,0.0168,1.0229,0.1603,0.5344,0.5649,,0.02,0.8655195,
6.665,-0.1155,0.0142,1.022,0.145,0.5267,0.5267,,0.02,0.8684195,
6.685,-0.1155,0.0173,1.0195,0.1069,0.4122,0.6183,,0.02,0.8705575,
6.705,-0.1184,0.0183,1.0295,0.229,0.4656,0.5344,,0.02,0.8751375,
6.725,-0.1179,0.0125,1.019,0.2061,0.4504,0.6336,,0.02,0.8792595,
6.745,-0.1204,0.0178,1.0232,0.0763,0.5725,0.5344,,0.02,0.8807855,
6.765,-0.1145,0.0139,1.0251,0.1069,0.4962,0.5954,,0.02,0.8829235,
6.785,-0.1179,0.0171,1.0161,0.0611,0.4809,0.5038,,0.02,0.8841455,
6.805,-0.1179,0.0171,1.0217,0.1908,0.4809,0.5878,,0.02,0.8879615,
6.825,-0.1201,0.0132,1.031,0.1221,0.5267,0.5954,,0.02,0.8904035,
6.845,-0.1184,0.0159,1.0203,0.1603,0.5115,0.6412,,0.02,0.8936095,
6.865,-0.1165,0.0154,1.0269,0.1985,0.5725,0.7099,,0.02,0.8975795,
6.885,-0.1155,0.0164,1.0151,0.1832,0.5191,0.6336,,0.02,0.9012435,
6.905,-0.1196,0.0171,1.0188,0.1221,0.5496,0.6183,,0.02,0.9036855,
6.925,-0.1172,0.0171,1.019,0.1221,0.4427,0.6107,,0.02,0.9061275,
6.945,-0.1189,0.0171,1.0168,0.1679,0.4809,0.5496,,0.02,0.9094855,
6.965,-0.1189,0.0149,1.019,0.1756,0.5191,0.6565,,0.02,0.9129975,
6.985,-0.1174,0.0149,1.0259,0.2137,0.5649,0.4885,,0.02,0.9172715,
7.005,-0.1155,0.0137,1.0186,0.1985,0.5496,0.6641,,0.02,0.9212415,
7.025,-0.1165,0.0181,1.021,0.1069,0.4046,0.5878,,0.02,0.9233795,
7.045,-0.1174,0.0166,1.0264,0.1069,0.5191,0.5649,,0.02,0.9255175,
7.065,-0.1174,0.0181,1.0229,0.145,0.5115,0.5878,,0.02,0.9284175,
7.085,-0.1187,0.0125,1.0229,0.1756,0.5802,0.6183,,0.02,0.9319295,
7.105,-0.1179,0.0144,1.0244,0.1069,0.5954,0.6794,,0.021,0.9341744,
7.126,-0.1187,0.0132,1.0195,0.0763,0.6412,0.6107,,0.019,0.9356241,
7.145,-0.1201,0.0137,1.0227,0.0382,0.5038,0.5344,,0.02,0.9363881,
7.165,-0.1155,0.0132,1.022,0.1603,0.5649,0.5344,,0.02,0.9395941,
